Advertiser_ID,Advertiser_Name,Line_Item_ID,Line_Item_Name,Line_Item_Status,Daily_Spend,Floodlight_Activity_ID,Floodlight_Name,Counting_Method,Floodlight_Status,Lookback_Window_Days,Last_Conversion_Date,Impressions_Last_24h,Clicks_Last_24h,Cookie_Consented_Count,Cookie_Unconsented_Count,GTM_Container_Link
ADV_1016,Advertiser_ADV_1016,LI_6871,Campaign_Q1_Display,ACTIVE,463.29,FL_9083,Activity_FL_9083,Standard,ACTIVE,30,2026-01-30,29748,708,643,93,GTM-XYZ109
ADV_1012,Advertiser_ADV_1012,LI_8728,Campaign_Q2_Display,ACTIVE,4119.58,FL_9072,Activity_FL_9072,Standard,ACTIVE,30,2026-01-30,24017,309,464,73,GTM-XYZ126
ADV_1040,Advertiser_ADV_1040,LI_9629,Campaign_Q1_Display,ACTIVE,1061.02,FL_9036,Activity_FL_9036,Session,ACTIVE,30,2026-01-30,32802,644,251,26,GTM-XYZ107
ADV_1050,Advertiser_ADV_1050,LI_5336,Campaign_Spring_Display,ACTIVE,3954.04,FL_9073,Activity_FL_9073,Session,ACTIVE,30,2026-01-30,8627,742,747,61,GTM-XYZ147
ADV_1046,Advertiser_ADV_1046,LI_9890,Campaign_Spring_Display,ACTIVE,4867.31,nan,Activity_FL_9046,Standard,ACTIVE,30,2026-01-30,47721,767,239,22,GTM-XYZ117
ADV_1005,Advertiser_ADV_1005,LI_7726,Campaign_Q2_Display,ACTIVE,4877.77,FL_9077,Activity_FL_9077,Unique,ACTIVE,30,2026-01-30,44410,770,423,89,GTM-XYZ125
ADV_1035,Advertiser_ADV_1035,LI_8727,Campaign_Q1_Display,ACTIVE,3165.91,FL_9042,Activity_FL_9042,Standard,ACTIVE,30,2026-01-30,38023,857,553,65,GTM-XYZ144
ADV_1048,Advertiser_ADV_1048,LI_8226,Campaign_Q1_Display,ACTIVE,2895.07,FL_9017,Activity_FL_9017,Standard,ACTIVE,30,2026-01-30,30139,364,481,14,GTM-XYZ106
ADV_1020,Advertiser_ADV_1020,LI_6440,Campaign_Q1_Display,ACTIVE,1212.14,nan,Activity_FL_9088,Session,ACTIVE,30,2026-01-30,34035,696,527,13,GTM-XYZ116
ADV_1008,Advertiser_ADV_1008,LI_8883,Campaign_Spring_Display,ACTIVE,2530.91,FL_9033,Activity_FL_9033,Session,ACTIVE,30,2026-01-30,12202,199,955,92,GTM-XYZ104
ADV_1022,Advertiser_ADV_1022,LI_5022,Campaign_Q1_Display,ACTIVE,2983.25,FL_9060,Activity_FL_9060,Unique,ACTIVE,30,2026-01-30,24100,705,478,49,GTM-XYZ140
ADV_1004,Advertiser_ADV_1004,LI_5840,Campaign_Q2_Display,ACTIVE,3376.18,FL_9045,Activity_FL_9045,Standard,ACTIVE,30,2026-01-30,1332,384,648,50,GTM-XYZ140
ADV_1045,Advertiser_ADV_1045,LI_9562,Campaign_Q1_Display,ACTIVE,2390.35,FL_9069,Activity_FL_9069,Session,ACTIVE,30,2025-01-01,18579,502,135,88,GTM-XYZ142
ADV_1016,Advertiser_ADV_1016,LI_8475,Campaign_Q2_Display,ACTIVE,3095.44,FL_9092,Activity_FL_9092,Standard,ACTIVE,30,2026-01-30,21013,999,449,47,GTM-XYZ125
ADV_1014,Advertiser_ADV_1014,LI_7208,Campaign_Q1_Display,ACTIVE,3646.18,FL_9034,Activity_FL_9034,Session,ACTIVE,30,2026-01-30,33938,618,653,35,GTM-XYZ144
ADV_1011,Advertiser_ADV_1011,LI_9657,Campaign_Q1_Display,ACTIVE,3220.33,FL_9067,Activity_FL_9067,Unique,ACTIVE,30,2026-01-30,25502,387,408,53,GTM-XYZ143
ADV_1007,Advertiser_ADV_1007,LI_8626,Campaign_Q1_Display,ACTIVE,382.24,FL_9070,Activity_FL_9070,Session,ACTIVE,30,2026-01-30,14102,278,263,52,GTM-XYZ137
ADV_1021,Advertiser_ADV_1021,LI_8012,Campaign_Q1_Display,ACTIVE,1149.88,nan,Activity_FL_9015,Unique,ACTIVE,30,2026-01-30,14958,344,650,97,GTM-XYZ105
ADV_1001,Advertiser_ADV_1001,LI_5129,Campaign_Q1_Display,ACTIVE,389.91,FL_9050,Activity_FL_9050,Unique,ACTIVE,30,2026-01-30,45272,66,301,65,GTM-XYZ134
ADV_1010,Advertiser_ADV_1010,LI_7865,Campaign_Spring_Display,ACTIVE,489.15,FL_9080,Activity_FL_9080,Standard,ACTIVE,30,2026-01-30,8212,90,891,74,GTM-XYZ145
ADV_1014,Advertiser_ADV_1014,LI_6582,Campaign_Q2_Display,ACTIVE,3972.13,FL_9006,Activity_FL_9006,Session,ACTIVE,30,2026-01-30,8680,458,0,36,GTM-XYZ132
ADV_1013,Advertiser_ADV_1013,LI_9494,Campaign_Q2_Display,ACTIVE,880.6,nan,Activity_FL_9027,Session,ACTIVE,30,2026-01-30,38926,479,863,89,GTM-XYZ143
ADV_1043,Advertiser_ADV_1043,LI_7801,Campaign_Q2_Display,ACTIVE,283.72,FL_9072,Activity_FL_9072,Unique,ACTIVE,30,2026-01-30,45505,266,427,41,GTM-XYZ148
ADV_1027,Advertiser_ADV_1027,LI_7004,Campaign_Spring_Display,ACTIVE,4493.52,FL_9090,Activity_FL_9090,Unique,ACTIVE,30,2026-01-30,2011,133,894,39,GTM-XYZ128
ADV_1050,Advertiser_ADV_1050,LI_9484,Campaign_Spring_Display,ACTIVE,1742.59,FL_9044,Activity_FL_9044,Unique,ACTIVE,30,2026-01-30,1432,538,873,12,GTM-XYZ124
ADV_1029,Advertiser_ADV_1029,LI_8473,Campaign_Spring_Display,ACTIVE,3968.04,nan,Activity_FL_9051,Standard,ACTIVE,30,2026-01-30,22021,334,811,62,GTM-XYZ149
ADV_1044,Advertiser_ADV_1044,LI_7090,Campaign_Q1_Display,ACTIVE,166.46,FL_9014,Activity_FL_9014,Standard,ACTIVE,30,2025-01-01,8862,645,506,30,GTM-XYZ147
ADV_1021,Advertiser_ADV_1021,LI_9963,Campaign_Spring_Display,ACTIVE,1558.51,FL_9076,Activity_FL_9076,Session,ACTIVE,30,2026-01-30,43553,312,612,45,GTM-XYZ120
ADV_1038,Advertiser_ADV_1038,LI_5708,Campaign_Spring_Display,ACTIVE,1060.18,FL_9046,Activity_FL_9046,Unique,ACTIVE,30,2026-01-30,6522,482,830,57,GTM-XYZ121
ADV_1043,Advertiser_ADV_1043,LI_7265,Campaign_Spring_Display,ACTIVE,4056.79,FL_9039,Activity_FL_9039,Unique,ACTIVE,30,2025-01-01,13238,336,848,55,GTM-XYZ150
ADV_1028,Advertiser_ADV_1028,LI_8838,Campaign_Q2_Display,ACTIVE,1734.66,FL_9018,Activity_FL_9018,Standard,ACTIVE,30,2026-01-30,49403,982,868,27,GTM-XYZ145
ADV_1016,Advertiser_ADV_1016,LI_8658,Campaign_Q1_Display,ACTIVE,3275.24,FL_9021,Activity_FL_9021,Standard,ACTIVE,30,2026-01-30,9167,54,865,61,GTM-XYZ113
ADV_1045,Advertiser_ADV_1045,LI_5517,Campaign_Spring_Display,ACTIVE,1158.66,FL_9002,Activity_FL_9002,Unique,ACTIVE,30,2026-01-30,39662,874,644,41,GTM-XYZ124
ADV_1033,Advertiser_ADV_1033,LI_5646,Campaign_Q2_Display,ACTIVE,1269.88,FL_9053,Activity_FL_9053,Standard,ACTIVE,30,2026-01-30,5692,432,349,96,GTM-XYZ123
ADV_1045,Advertiser_ADV_1045,LI_6453,Campaign_Q1_Display,ACTIVE,560.33,FL_9030,Activity_FL_9030,Session,ACTIVE,30,2026-01-30,48808,760,283,85,GTM-XYZ131
ADV_1037,Advertiser_ADV_1037,LI_6969,Campaign_Q2_Display,ACTIVE,3154.28,FL_9020,Activity_FL_9020,Standard,ACTIVE,30,2026-01-30,3063,54,843,32,GTM-XYZ110
ADV_1048,Advertiser_ADV_1048,LI_9832,Campaign_Spring_Display,ACTIVE,4326.51,FL_9094,Activity_FL_9094,Unique,ACTIVE,30,2026-01-30,6236,789,930,24,GTM-XYZ148
ADV_1017,Advertiser_ADV_1017,LI_6862,Campaign_Q1_Display,ACTIVE,880.43,FL_9016,Activity_FL_9016,Unique,ACTIVE,30,2026-01-30,37745,385,131,83,GTM-XYZ142
ADV_1028,Advertiser_ADV_1028,LI_5055,Campaign_Q1_Display,ACTIVE,1555.05,FL_9029,Activity_FL_9029,Session,ACTIVE,30,2026-01-30,8730,54,792,52,GTM-XYZ140
ADV_1039,Advertiser_ADV_1039,LI_6954,Campaign_Q1_Display,ACTIVE,4856.52,nan,Activity_FL_9067,Session,ACTIVE,30,2026-01-30,29605,770,510,81,GTM-XYZ121
ADV_1032,Advertiser_ADV_1032,LI_9000,Campaign_Q2_Display,ACTIVE,1687.8,FL_9036,Activity_FL_9036,Standard,ACTIVE,30,2025-01-01,28400,199,402,88,GTM-XYZ103
ADV_1026,Advertiser_ADV_1026,LI_8864,Campaign_Spring_Display,ACTIVE,680.25,FL_9082,Activity_FL_9082,Standard,ACTIVE,30,2026-01-30,40163,965,493,77,GTM-XYZ134
ADV_1040,Advertiser_ADV_1040,LI_9887,Campaign_Q1_Display,ACTIVE,2621.76,FL_9009,Activity_FL_9009,Session,ACTIVE,30,2026-01-30,48224,285,585,52,GTM-XYZ121
ADV_1014,Advertiser_ADV_1014,LI_6953,Campaign_Q2_Display,ACTIVE,3607.81,FL_9074,Activity_FL_9074,Unique,ACTIVE,30,2025-01-01,30149,252,308,14,GTM-XYZ120
ADV_1034,Advertiser_ADV_1034,LI_6594,Campaign_Q2_Display,ACTIVE,3656.0,FL_9013,Activity_FL_9013,Session,ACTIVE,30,2026-01-30,24379,635,112,45,GTM-XYZ132
ADV_1027,Advertiser_ADV_1027,LI_8225,Campaign_Spring_Display,ACTIVE,1049.75,FL_9006,Activity_FL_9006,Standard,ACTIVE,30,2026-01-30,3920,645,967,21,GTM-XYZ135
ADV_1032,Advertiser_ADV_1032,LI_9245,Campaign_Spring_Display,ACTIVE,4457.85,FL_9011,Activity_FL_9011,Standard,ACTIVE,30,2026-01-30,26423,184,953,35,GTM-XYZ127
ADV_1015,Advertiser_ADV_1015,LI_9287,Campaign_Q1_Display,ACTIVE,1076.2,FL_9068,Activity_FL_9068,Unique,ACTIVE,30,2026-01-30,45170,137,553,76,GTM-XYZ144
ADV_1027,Advertiser_ADV_1027,LI_9822,Campaign_Spring_Display,ACTIVE,3469.84,FL_9042,Activity_FL_9042,Session,ACTIVE,30,2026-01-30,3591,57,687,71,GTM-XYZ135
ADV_1020,Advertiser_ADV_1020,LI_9206,Campaign_Q1_Display,ACTIVE,1287.84,FL_9094,Activity_FL_9094,Session,ACTIVE,30,2025-01-01,35896,544,375,54,GTM-XYZ111
ADV_1024,Advertiser_ADV_1024,LI_5538,Campaign_Spring_Display,ACTIVE,4523.1,FL_9088,Activity_FL_9088,Session,ACTIVE,30,2026-01-30,12995,524,703,93,GTM-XYZ149
ADV_1023,Advertiser_ADV_1023,LI_8049,Campaign_Q1_Display,ACTIVE,2509.88,FL_9098,Activity_FL_9098,Unique,ACTIVE,30,2026-01-30,40205,865,183,66,GTM-XYZ146
ADV_1001,Advertiser_ADV_1001,LI_7325,Campaign_Q2_Display,ACTIVE,1605.72,FL_9016,Activity_FL_9016,Standard,ACTIVE,30,2026-01-30,45179,640,194,61,GTM-XYZ107
ADV_1004,Advertiser_ADV_1004,LI_5244,Campaign_Q1_Display,ACTIVE,1314.32,FL_9078,Activity_FL_9078,Unique,ACTIVE,30,2026-01-30,19873,835,443,84,GTM-XYZ147
ADV_1034,Advertiser_ADV_1034,LI_6650,Campaign_Q1_Display,ACTIVE,2889.98,FL_9072,Activity_FL_9072,Unique,ACTIVE,30,2026-01-30,39080,240,372,36,GTM-XYZ136
ADV_1023,Advertiser_ADV_1023,LI_7070,Campaign_Q1_Display,ACTIVE,3872.58,FL_9008,Activity_FL_9008,Unique,ACTIVE,30,2026-01-30,14662,755,597,90,GTM-XYZ146
ADV_1035,Advertiser_ADV_1035,LI_7799,Campaign_Spring_Display,ACTIVE,2717.05,FL_9031,Activity_FL_9031,Unique,ACTIVE,30,2026-01-30,36151,126,724,17,GTM-XYZ150
ADV_1038,Advertiser_ADV_1038,LI_7283,Campaign_Spring_Display,ACTIVE,4501.65,FL_9066,Activity_FL_9066,Session,ACTIVE,30,2026-01-30,6381,206,753,62,GTM-XYZ148
ADV_1005,Advertiser_ADV_1005,LI_8672,Campaign_Spring_Display,ACTIVE,2930.37,FL_9039,Activity_FL_9039,Standard,ACTIVE,30,2026-01-30,20815,429,933,45,GTM-XYZ103
ADV_1006,Advertiser_ADV_1006,LI_6650,Campaign_Q2_Display,ACTIVE,3123.0,FL_9099,Activity_FL_9099,Session,ACTIVE,30,2026-01-30,28567,404,691,98,GTM-XYZ129
ADV_1006,Advertiser_ADV_1006,LI_7589,Campaign_Q2_Display,ACTIVE,2928.62,FL_9075,Activity_FL_9075,Unique,ACTIVE,30,2026-01-30,48675,265,854,18,GTM-XYZ148
ADV_1011,Advertiser_ADV_1011,LI_6455,Campaign_Q2_Display,ACTIVE,4156.45,FL_9069,Activity_FL_9069,Session,ACTIVE,30,2026-01-30,25394,280,121,99,GTM-XYZ140
ADV_1037,Advertiser_ADV_1037,LI_5834,Campaign_Q1_Display,ACTIVE,1318.83,FL_9026,Activity_FL_9026,Session,ACTIVE,30,2026-01-30,3331,463,202,36,GTM-XYZ150
ADV_1023,Advertiser_ADV_1023,LI_5144,Campaign_Q1_Display,ACTIVE,1293.33,FL_9074,Activity_FL_9074,Standard,ACTIVE,30,2026-01-30,46099,484,754,71,GTM-XYZ142
ADV_1023,Advertiser_ADV_1023,LI_9112,Campaign_Spring_Display,ACTIVE,3772.99,FL_9004,Activity_FL_9004,Standard,ACTIVE,30,2026-01-30,3489,451,156,28,GTM-XYZ144
ADV_1029,Advertiser_ADV_1029,LI_6372,Campaign_Q1_Display,ACTIVE,1270.25,FL_9071,Activity_FL_9071,Standard,ACTIVE,30,2026-01-30,6920,206,376,73,GTM-XYZ112
ADV_1002,Advertiser_ADV_1002,LI_7363,Campaign_Spring_Display,ACTIVE,506.27,FL_9083,Activity_FL_9083,Session,ACTIVE,30,2026-01-30,42652,945,252,96,GTM-XYZ137
ADV_1043,Advertiser_ADV_1043,LI_9987,Campaign_Q1_Display,ACTIVE,4604.96,FL_9032,Activity_FL_9032,Session,ACTIVE,30,2026-01-30,17870,792,207,81,GTM-XYZ149
ADV_1028,Advertiser_ADV_1028,LI_9952,Campaign_Q1_Display,ACTIVE,2820.21,FL_9060,Activity_FL_9060,Session,ACTIVE,30,2026-01-30,30198,198,877,11,GTM-XYZ139
ADV_1048,Advertiser_ADV_1048,LI_8142,Campaign_Spring_Display,ACTIVE,1724.94,FL_9024,Activity_FL_9024,Session,ACTIVE,30,2026-01-30,48792,980,0,95,GTM-XYZ113
ADV_1008,Advertiser_ADV_1008,LI_6773,Campaign_Q2_Display,ACTIVE,3354.3,FL_9046,Activity_FL_9046,Unique,ACTIVE,30,2026-01-30,26123,945,862,93,GTM-XYZ137
ADV_1031,Advertiser_ADV_1031,LI_6894,Campaign_Q1_Display,ACTIVE,840.76,FL_9049,Activity_FL_9049,Standard,ACTIVE,30,2026-01-30,13461,697,961,95,GTM-XYZ140
ADV_1006,Advertiser_ADV_1006,LI_5858,Campaign_Spring_Display,ACTIVE,2569.39,FL_9015,Activity_FL_9015,Standard,ACTIVE,30,2026-01-30,46300,74,518,24,GTM-XYZ110
ADV_1003,Advertiser_ADV_1003,LI_5208,Campaign_Q1_Display,ACTIVE,4821.6,FL_9053,Activity_FL_9053,Standard,ACTIVE,30,2026-01-30,8528,421,971,47,GTM-XYZ120
ADV_1036,Advertiser_ADV_1036,LI_7280,Campaign_Q2_Display,ACTIVE,4270.15,FL_9007,Activity_FL_9007,Session,ACTIVE,30,2025-01-01,45290,527,283,65,GTM-XYZ144
ADV_1040,Advertiser_ADV_1040,LI_6288,Campaign_Spring_Display,ACTIVE,2402.97,nan,Activity_FL_9074,Standard,ACTIVE,30,2026-01-30,42118,500,438,14,GTM-XYZ132
ADV_1034,Advertiser_ADV_1034,LI_5217,Campaign_Spring_Display,ACTIVE,2336.27,FL_9053,Activity_FL_9053,Standard,ACTIVE,30,2026-01-30,14280,346,370,64,GTM-XYZ114
ADV_1037,Advertiser_ADV_1037,LI_5001,Campaign_Q1_Display,ACTIVE,4381.21,FL_9057,Activity_FL_9057,Session,ACTIVE,30,2026-01-30,40899,475,143,72,GTM-XYZ127
ADV_1037,Advertiser_ADV_1037,LI_6389,Campaign_Q2_Display,ACTIVE,4330.92,FL_9064,Activity_FL_9064,Session,ACTIVE,30,2026-01-30,35083,964,742,58,GTM-XYZ136
ADV_1045,Advertiser_ADV_1045,LI_9427,Campaign_Spring_Display,ACTIVE,2176.79,FL_9013,Activity_FL_9013,Unique,ACTIVE,30,2026-01-30,13346,818,399,11,GTM-XYZ119
