Container_ID,Tag_ID,Tag_Name,Status,Trigger_Name,Linked_Floodlight_ID,Conversion_Linker_Enabled,Advertiser_ID_Config,Configured_Counting_Method,Consent_Settings
GTM-XYZ142,TAG_3912,DV360_Floodlight,Live,Page View - All Pages,FL_9075,True,ADV_1028,Standard,"ad_storage,analytics_storage"
GTM-XYZ116,TAG_3654,DV360_Floodlight,Live,Page View - All Pages,FL_9079,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_6620,DV360_Floodlight,Live,Page View - All Pages,FL_9013,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_2820,DV360_Floodlight,Live,Page View - All Pages,FL_9098,True,ADV_1003,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_6799,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ149,TAG_8851,DV360_Floodlight,Live,Page View - All Pages,FL_9080,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ102,TAG_8592,DV360_Floodlight,Live,Page View - All Pages,FL_9057,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ117,TAG_9635,DV360_Floodlight,Live,Page View - All Pages,FL_9016,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ129,TAG_2677,DV360_Floodlight,Live,Page View - All Pages,FL_9085,True,ADV_1002,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_7267,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_1042,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_3026,DV360_Floodlight,Live,Page View - All Pages,FL_9048,True,ADV_1038,Standard,"ad_storage,analytics_storage"
GTM-XYZ109,TAG_4765,DV360_Floodlight,Live,Page View - All Pages,FL_9024,True,ADV_1049,Standard,"ad_storage,analytics_storage"
GTM-XYZ124,TAG_7388,DV360_Floodlight,Live,Page View - All Pages,FL_9086,True,ADV_1019,Standard,"ad_storage,analytics_storage"
GTM-XYZ100,TAG_5102,DV360_Floodlight,Live,Page View - All Pages,FL_9053,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_6375,DV360_Floodlight,Live,Page View - All Pages,FL_9066,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ132,TAG_6988,DV360_Floodlight,Live,Page View - All Pages,FL_9087,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ135,TAG_7651,DV360_Floodlight,Live,Page View - All Pages,FL_9048,True,ADV_1005,Standard,"ad_storage,analytics_storage"
GTM-XYZ135,TAG_8187,DV360_Floodlight,Live,Page View - All Pages,FL_9029,True,ADV_1001,Standard,"ad_storage,analytics_storage"
GTM-XYZ146,TAG_4420,DV360_Floodlight,Live,Page View - All Pages,FL_9021,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ128,TAG_3654,DV360_Floodlight,Live,Page View - All Pages,FL_9025,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ112,TAG_1450,DV360_Floodlight,Live,Page View - All Pages,FL_9030,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ135,TAG_1435,DV360_Floodlight,Live,Page View - All Pages,FL_9063,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ150,TAG_7018,DV360_Floodlight,Live,Page View - All Pages,FL_9025,True,ADV_1049,Standard,"ad_storage,analytics_storage"
GTM-XYZ122,TAG_4475,DV360_Floodlight,Live,Page View - All Pages,FL_9025,True,ADV_1045,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_5081,DV360_Floodlight,Live,Page View - All Pages,FL_9061,True,ADV_1038,Standard,"ad_storage,analytics_storage"
GTM-XYZ104,TAG_8408,DV360_Floodlight,Live,Page View - All Pages,FL_9055,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ135,TAG_7810,DV360_Floodlight,Live,Page View - All Pages,FL_9087,True,ADV_1035,Standard,nan
GTM-XYZ143,TAG_8471,DV360_Floodlight,Live,Page View - All Pages,FL_9053,True,ADV_1039,Standard,"ad_storage,analytics_storage"
GTM-XYZ140,TAG_5807,DV360_Floodlight,Live,Page View - All Pages,FL_9057,True,ADV_1034,Standard,"ad_storage,analytics_storage"
GTM-XYZ141,TAG_6279,DV360_Floodlight,Live,Page View - All Pages,FL_9071,True,ADV_1004,Standard,"ad_storage,analytics_storage"
GTM-XYZ114,TAG_3661,DV360_Floodlight,Live,Page View - All Pages,FL_9037,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ115,TAG_4978,DV360_Floodlight,Live,Page View - All Pages,FL_9008,True,ADV_1049,Standard,"ad_storage,analytics_storage"
GTM-XYZ128,TAG_5577,DV360_Floodlight,Live,Page View - All Pages,FL_9099,True,ADV_1044,Standard,"ad_storage,analytics_storage"
GTM-XYZ144,TAG_1894,DV360_Floodlight,Live,Page View - All Pages,FL_9030,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ129,TAG_6988,DV360_Floodlight,Live,Page View - All Pages,FL_9095,True,ADV_1006,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_7976,DV360_Floodlight,Live,Page View - All Pages,FL_9004,True,ADV_1046,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_3386,DV360_Floodlight,Live,Page View - All Pages,FL_9079,True,ADV_1027,Standard,"ad_storage,analytics_storage"
GTM-XYZ134,TAG_2862,DV360_Floodlight,Live,Page View - All Pages,FL_9057,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ144,TAG_9043,DV360_Floodlight,Live,Page View - All Pages,FL_9004,True,ADV_1007,Standard,"ad_storage,analytics_storage"
GTM-XYZ100,TAG_7873,DV360_Floodlight,Live,Page View - All Pages,FL_9014,True,ADV_1038,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_3523,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_9555,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_2614,DV360_Floodlight,Live,Page View - All Pages,FL_9012,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ100,TAG_8813,DV360_Floodlight,Live,Page View - All Pages,FL_9018,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ146,TAG_9078,DV360_Floodlight,Live,Page View - All Pages,FL_9004,True,ADV_1033,Standard,"ad_storage,analytics_storage"
GTM-XYZ102,TAG_7975,DV360_Floodlight,Live,Page View - All Pages,FL_9020,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ110,TAG_4804,DV360_Floodlight,Live,Page View - All Pages,FL_9085,True,ADV_1010,Standard,"ad_storage,analytics_storage"
GTM-XYZ129,TAG_3924,DV360_Floodlight,Live,Page View - All Pages,FL_9026,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_1130,DV360_Floodlight,Live,Page View - All Pages,FL_9014,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_9103,DV360_Floodlight,Live,Page View - All Pages,FL_9056,True,ADV_1030,Standard,"ad_storage,analytics_storage"
GTM-XYZ136,TAG_2745,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_3282,DV360_Floodlight,Live,Page View - All Pages,FL_9013,True,ADV_1006,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_8378,DV360_Floodlight,Live,Page View - All Pages,FL_9046,True,ADV_1010,Standard,"ad_storage,analytics_storage"
GTM-XYZ121,TAG_7702,DV360_Floodlight,Live,Page View - All Pages,FL_9040,True,ADV_1006,Standard,"ad_storage,analytics_storage"
GTM-XYZ123,TAG_4142,DV360_Floodlight,Live,Page View - All Pages,FL_9022,True,ADV_1003,Standard,"ad_storage,analytics_storage"
GTM-XYZ104,TAG_5285,DV360_Floodlight,Live,Page View - All Pages,FL_9041,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_3352,DV360_Floodlight,Live,Page View - All Pages,FL_9081,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ127,TAG_7947,DV360_Floodlight,Live,Page View - All Pages,FL_9017,True,ADV_1007,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_6036,DV360_Floodlight,Live,Page View - All Pages,FL_9035,True,ADV_1039,Standard,"ad_storage,analytics_storage"
GTM-XYZ123,TAG_9467,DV360_Floodlight,Live,Page View - All Pages,FL_9088,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_3947,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_1033,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_1148,DV360_Floodlight,Live,Page View - All Pages,FL_9069,True,ADV_1014,Standard,"ad_storage,analytics_storage"
GTM-XYZ123,TAG_7883,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_9753,DV360_Floodlight,Live,Page View - All Pages,FL_9061,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ142,TAG_6484,DV360_Floodlight,Live,Page View - All Pages,FL_9030,True,ADV_1018,Standard,"ad_storage,analytics_storage"
GTM-XYZ127,TAG_9753,DV360_Floodlight,Live,Page View - All Pages,FL_9038,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_6085,DV360_Floodlight,Live,Page View - All Pages,FL_9085,True,ADV_1033,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_4086,DV360_Floodlight,Live,Page View - All Pages,FL_9067,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ128,TAG_3048,DV360_Floodlight,Live,Page View - All Pages,FL_9100,True,ADV_1020,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_7665,DV360_Floodlight,Live,Page View - All Pages,FL_9092,True,ADV_1016,Standard,"ad_storage,analytics_storage"
GTM-XYZ113,TAG_6474,DV360_Floodlight,Live,Page View - All Pages,FL_9022,True,ADV_1005,Standard,"ad_storage,analytics_storage"
GTM-XYZ138,TAG_3680,DV360_Floodlight,Live,Page View - All Pages,FL_9044,True,ADV_1037,Standard,"ad_storage,analytics_storage"
GTM-XYZ111,TAG_1681,DV360_Floodlight,Live,Page View - All Pages,FL_9003,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_5263,DV360_Floodlight,Live,Page View - All Pages,FL_9009,True,ADV_1049,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_3397,DV360_Floodlight,Live,Page View - All Pages,FL_9055,True,ADV_1020,Standard,nan
GTM-XYZ142,TAG_7625,DV360_Floodlight,Live,Page View - All Pages,FL_9017,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ133,TAG_6928,DV360_Floodlight,Live,Page View - All Pages,FL_9085,True,ADV_1004,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_7264,DV360_Floodlight,Live,Page View - All Pages,FL_9052,True,ADV_1033,Standard,nan
GTM-XYZ107,TAG_8369,DV360_Floodlight,Live,Page View - All Pages,FL_9024,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ124,TAG_5830,DV360_Floodlight,Live,Page View - All Pages,FL_9100,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_7969,DV360_Floodlight,Live,Page View - All Pages,FL_9018,True,ADV_1001,Standard,"ad_storage,analytics_storage"
GTM-XYZ103,TAG_6608,DV360_Floodlight,Live,Page View - All Pages,FL_9009,True,ADV_1022,Standard,"ad_storage,analytics_storage"
GTM-XYZ111,TAG_3407,DV360_Floodlight,Live,Page View - All Pages,FL_9016,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ133,TAG_2098,DV360_Floodlight,Live,Page View - All Pages,FL_9029,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_5479,DV360_Floodlight,Live,Page View - All Pages,FL_9026,True,ADV_1038,Standard,"ad_storage,analytics_storage"
GTM-XYZ115,TAG_8397,DV360_Floodlight,Live,Page View - All Pages,FL_9097,True,ADV_1022,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_2070,DV360_Floodlight,Live,Page View - All Pages,FL_9085,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ146,TAG_9445,DV360_Floodlight,Live,Page View - All Pages,FL_9067,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_2029,DV360_Floodlight,Live,Page View - All Pages,FL_9056,True,ADV_1014,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_4823,DV360_Floodlight,Live,Page View - All Pages,FL_9015,True,ADV_1037,Standard,"ad_storage,analytics_storage"
GTM-XYZ126,TAG_2627,DV360_Floodlight,Live,Page View - All Pages,FL_9055,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ117,TAG_6271,DV360_Floodlight,Live,Page View - All Pages,FL_9016,True,ADV_1030,Standard,"ad_storage,analytics_storage"
GTM-XYZ138,TAG_5055,DV360_Floodlight,Live,Page View - All Pages,FL_9002,True,ADV_1036,Standard,"ad_storage,analytics_storage"
GTM-XYZ131,TAG_9692,DV360_Floodlight,Live,Page View - All Pages,FL_9004,True,ADV_1039,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_1339,DV360_Floodlight,Live,Page View - All Pages,FL_9094,True,ADV_1012,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_9164,DV360_Floodlight,Live,Page View - All Pages,FL_9054,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_8101,DV360_Floodlight,Live,Page View - All Pages,FL_9054,True,ADV_1005,Standard,"ad_storage,analytics_storage"
GTM-XYZ141,TAG_2842,DV360_Floodlight,Live,Page View - All Pages,FL_9064,True,ADV_1022,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_9791,DV360_Floodlight,Live,Page View - All Pages,FL_9093,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ100,TAG_9966,DV360_Floodlight,Live,Page View - All Pages,FL_9067,True,ADV_1011,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_5067,DV360_Floodlight,Live,Page View - All Pages,FL_9050,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ118,TAG_1299,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_1022,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_2590,DV360_Floodlight,Live,Page View - All Pages,FL_9059,True,ADV_1035,Standard,"ad_storage,analytics_storage"
GTM-XYZ127,TAG_2219,DV360_Floodlight,Live,Page View - All Pages,FL_9077,True,ADV_1027,Standard,"ad_storage,analytics_storage"
GTM-XYZ132,TAG_7043,DV360_Floodlight,Live,Page View - All Pages,FL_9062,True,ADV_1024,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_6392,DV360_Floodlight,Live,Page View - All Pages,FL_9096,True,ADV_1026,Standard,"ad_storage,analytics_storage"
GTM-XYZ116,TAG_2436,DV360_Floodlight,Live,Page View - All Pages,FL_9060,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ125,TAG_1097,DV360_Floodlight,Live,Page View - All Pages,FL_9067,True,ADV_1029,Standard,"ad_storage,analytics_storage"
GTM-XYZ142,TAG_4368,DV360_Floodlight,Live,Page View - All Pages,FL_9016,True,ADV_1011,Standard,"ad_storage,analytics_storage"
GTM-XYZ146,TAG_9386,DV360_Floodlight,Live,Page View - All Pages,FL_9001,True,ADV_1002,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_6871,DV360_Floodlight,Live,Page View - All Pages,FL_9070,True,ADV_1027,Standard,"ad_storage,analytics_storage"
GTM-XYZ129,TAG_8599,DV360_Floodlight,Live,Page View - All Pages,FL_9023,True,ADV_1013,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_8262,DV360_Floodlight,Live,Page View - All Pages,FL_9073,True,ADV_1007,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_6154,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_1002,Standard,"ad_storage,analytics_storage"
GTM-XYZ123,TAG_3631,DV360_Floodlight,Live,Page View - All Pages,FL_9092,True,ADV_1018,Standard,nan
GTM-XYZ101,TAG_4473,DV360_Floodlight,Live,Page View - All Pages,FL_9017,True,ADV_1014,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_8100,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_1030,Standard,"ad_storage,analytics_storage"
GTM-XYZ138,TAG_5045,DV360_Floodlight,Live,Page View - All Pages,FL_9087,True,ADV_1037,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_7834,DV360_Floodlight,Live,Page View - All Pages,FL_9095,True,ADV_1036,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_4953,DV360_Floodlight,Live,Page View - All Pages,FL_9084,True,ADV_1041,Standard,nan
GTM-XYZ115,TAG_7843,DV360_Floodlight,Live,Page View - All Pages,FL_9062,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_1702,DV360_Floodlight,Live,Page View - All Pages,FL_9058,True,ADV_1017,Standard,"ad_storage,analytics_storage"
GTM-XYZ130,TAG_6195,DV360_Floodlight,Live,Page View - All Pages,FL_9033,True,ADV_1011,Standard,"ad_storage,analytics_storage"
GTM-XYZ140,TAG_1400,DV360_Floodlight,Live,Page View - All Pages,FL_9061,True,ADV_1036,Standard,"ad_storage,analytics_storage"
GTM-XYZ113,TAG_7695,DV360_Floodlight,Live,Page View - All Pages,FL_9100,True,ADV_1050,Standard,"ad_storage,analytics_storage"
GTM-XYZ147,TAG_2608,DV360_Floodlight,Live,Page View - All Pages,FL_9058,True,ADV_1022,Standard,"ad_storage,analytics_storage"
GTM-XYZ150,TAG_5043,DV360_Floodlight,Live,Page View - All Pages,FL_9029,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ116,TAG_7457,DV360_Floodlight,Live,Page View - All Pages,FL_9054,True,ADV_1012,Standard,"ad_storage,analytics_storage"
GTM-XYZ121,TAG_9456,DV360_Floodlight,Live,Page View - All Pages,FL_9023,True,ADV_1050,Standard,"ad_storage,analytics_storage"
GTM-XYZ130,TAG_6373,DV360_Floodlight,Live,Page View - All Pages,FL_9082,True,ADV_1003,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_2958,DV360_Floodlight,Live,Page View - All Pages,FL_9071,True,ADV_1006,Standard,"ad_storage,analytics_storage"
GTM-XYZ107,TAG_3497,DV360_Floodlight,Live,Page View - All Pages,FL_9034,True,ADV_1043,Standard,"ad_storage,analytics_storage"
GTM-XYZ103,TAG_7220,DV360_Floodlight,Live,Page View - All Pages,FL_9005,True,ADV_1002,Standard,"ad_storage,analytics_storage"
GTM-XYZ144,TAG_8276,DV360_Floodlight,Live,Page View - All Pages,FL_9071,True,ADV_1050,Standard,"ad_storage,analytics_storage"
GTM-XYZ114,TAG_7315,DV360_Floodlight,Live,Page View - All Pages,FL_9077,True,ADV_1034,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_9055,DV360_Floodlight,Live,Page View - All Pages,FL_9045,True,ADV_1018,Standard,"ad_storage,analytics_storage"
GTM-XYZ141,TAG_5087,DV360_Floodlight,Live,Page View - All Pages,FL_9023,True,ADV_1020,Standard,"ad_storage,analytics_storage"
GTM-XYZ100,TAG_3787,DV360_Floodlight,Live,Page View - All Pages,FL_9069,True,ADV_1021,Standard,"ad_storage,analytics_storage"
GTM-XYZ123,TAG_6279,DV360_Floodlight,Live,Page View - All Pages,FL_9012,True,ADV_1001,Standard,"ad_storage,analytics_storage"
GTM-XYZ130,TAG_1363,DV360_Floodlight,Live,Page View - All Pages,FL_9082,True,ADV_1049,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_1041,DV360_Floodlight,Live,Page View - All Pages,FL_9053,True,ADV_1010,Standard,"ad_storage,analytics_storage"
GTM-XYZ116,TAG_7958,DV360_Floodlight,Live,Page View - All Pages,FL_9039,True,ADV_1026,Standard,"ad_storage,analytics_storage"
GTM-XYZ144,TAG_2685,DV360_Floodlight,Live,Page View - All Pages,FL_9015,True,ADV_1021,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_5234,DV360_Floodlight,Live,Page View - All Pages,FL_9036,True,ADV_1007,Standard,"ad_storage,analytics_storage"
